candidate_id,rank,base_score,calibration_adj,total_score,skill_alignment_group,skill_alignment_reason,high_spec_matched,per_skill_groups,skill_overlap,group_overlap,skill_contribution,group_contribution,total_skill_signal,counterfactual_base_no_skill,career_evidence,depth,has_retrieval,has_eval,trap_flags,title,company,yoe
CAND_0066999,91,0.5122,0.066,0.5782,B,some evidence present but not all skills fully corroborated,FAISS|OpenSearch|Pinecone,FAISS:B; OpenSearch:B; Pinecone:B,0.25,1.0,0.065,0.16,0.225,0.2872,0.2,2,False,False,,Recommendation Systems Engineer,Microsoft,5.9
CAND_0031593,92,0.4921,0.092,0.5841,A,all high-spec matched skills corroborated by career evidence,Elasticsearch|Recommendation Systems,Elasticsearch:A; Recommendation Systems:A,0.125,0.667,0.0325,0.1067,0.1392,0.3529,1.0,4,True,True,,Search Engineer,Genpact AI,7.8
CAND_0012957,93,0.5012,0.08,0.5812,A,all high-spec matched skills corroborated by career evidence,Qdrant,Qdrant:A,0.188,1.0,0.0488,0.16,0.2087,0.2925,0.8,4,True,True,,Search Engineer,Razorpay,4.9
CAND_0032807,94,0.5219,0.053,0.5749,B,some evidence present but not all skills fully corroborated,Milvus|OpenSearch|Sentence Transformers,Milvus:B; OpenSearch:B; Sentence Transformers:B,0.25,1.0,0.065,0.16,0.225,0.2969,0.8,3,True,True,,Machine Learning Engineer,CRED,4.2
CAND_0051292,95,0.4926,0.086,0.5786,B,some evidence present but not all skills fully corroborated,Elasticsearch|FAISS,Elasticsearch:B; FAISS:B,0.125,0.667,0.0325,0.1067,0.1392,0.3534,1.0,4,True,True,,Applied ML Engineer,Freshworks,5.2
CAND_0084819,96,0.4985,0.08,0.5785,B,some evidence present but not all skills fully corroborated,OpenSearch|Recommendation Systems|Sentence Transformers|Weaviate,OpenSearch:B; Recommendation Systems:B; Sentence Transformers:B; Weaviate:B,0.25,0.667,0.065,0.1067,0.1717,0.3268,1.0,4,True,True,,Search Engineer,Dream11,4.5
CAND_0068081,97,0.5238,0.056,0.5798,B,some evidence present but not all skills fully corroborated,Elasticsearch|Milvus|OpenSearch|Pinecone,Elasticsearch:B; Milvus:B; OpenSearch:B; Pinecone:B,0.312,1.0,0.0813,0.16,0.2413,0.2825,0.2,2,False,False,,Computer Vision Engineer,Glance,6.2
CAND_0068351,98,0.5111,0.064,0.5751,A,all high-spec matched skills corroborated by career evidence,Elasticsearch|Qdrant,Elasticsearch:A; Qdrant:A,0.25,1.0,0.065,0.16,0.225,0.2861,0.2,3,False,True,,Lead AI Engineer,Sarvam AI,6.4
CAND_0030348,99,0.4983,0.077,0.5753,A,all high-spec matched skills corroborated by career evidence,Elasticsearch,Elasticsearch:A,0.125,1.0,0.0325,0.16,0.1925,0.3058,1.0,4,True,True,,Machine Learning Engineer,BYJU'S,4.5
CAND_0086151,100,0.483,0.098,0.581,A,all high-spec matched skills corroborated by career evidence,Elasticsearch|OpenSearch|Qdrant|Recommendation Systems|Sentence Transformers,Elasticsearch:A; OpenSearch:A; Qdrant:A; Recommendation Systems:A; Sentence Transformers:A,0.312,0.333,0.0813,0.0533,0.1346,0.3484,1.0,4,True,True,,Recommendation Systems Engineer,Wysa,7.7
